year_column,company,city,state1,title,salary_level,area,total_annual_compensation,years_of_experience,years_at_company,base_salary,stock_grant_value,bonus
2021,Two Sigma,Houston, TX,Data Scientist,1,General,120000,4,4,95000,0,25000
2021,Walmart,Bentonville, AR,Data Scientist,1,ML/AI,120000,5,2,95000,6000,19000
2021,Walmart,Dallas, TX,Data Scientist,1,Data Analytics,105000,5,0,95000,0,10000
2020,Walmart Labs,Bentonville, AR,Data Scientist,1,ML / AI,125000,3,1,95000,10000,20000
2020,State Farm,Atlanta, GA,Data Scientist,1,ML / AI,106000,1,1,96000,0,10000
2020,Target,Minneapolis, MN,Data Scientist,1,ML / AI,102000,4,1,96000,0,6000
2020,Zillow,Seattle, WA,Data Scientist,1,Data,101000,3,3,96000,5000,0
2019,Amazon,Seattle, WA,Data Scientist,1,ML / AI,133000,3,1,97000,16000,20000
2021,Bank of America Merrill Lynch,New York, NY,Data Scientist,1,Analytics,97000,2,1,97000,0,0
2020,Capgemini,Los Angeles, CA,Data Scientist,1,ML / AI,97000,0,0,97000,0,0
2021,Cisco,San Jose, CA,Data Scientist,1,ML/AI,115000,3,2,97000,10000,8000
2021,Deloitte,Orlando, FL,Data Scientist,1,Solution Specialist,97000,3,0,97000,0,0
2018,Indeed,New York, NY,Data Scientist,1,business intelligence,114000,2,2,97000,0,17000
2021,Amazon,Seattle, WA,Data Scientist,1,General,152000,5,4,98000,54000,0
2020,Booz Allen Hamilton,Alexandria, VA,Data Scientist,1,ML / AI,98000,4,2,98000,0,0
2021,Dell Technologies,Austin, TX,Data Scientist,1,general,106000,3,3,98000,0,8000
2020,Disney,Bristol, CT,Data Scientist,1,Data,109000,3,3,98000,6000,5000
2021,IBM,Austin, TX,Data Scientist,1,General,115000,2,2,98000,0,17000
2021,Northrop Grumman,Baltimore, MD,Data Scientist,1,General,98000,5,5,98000,0,0
2021,Walmart,Dallas, TX,Data Scientist,1,General,139000,1,1,98000,25000,16000
2019,Deloitte,Washington, DC,Data Scientist,1,Distributed Systems (Back-End),104000,4,1,99000,0,5000
2021,GE Aviation,Boston, MA,Data Scientist,1,ML,99000,6,6,99000,0,0
