year_column,company,city,state1,title,salary_level,area,total_annual_compensation,years_of_experience,years_at_company,base_salary,stock_grant_value,bonus
2020,Excella,Arlington, VA,Business Analyst,1,Production,78000,3,3,75000,0,3000
2021,Ford Motor,Dearborn, MI,Business Analyst,1,Purchasing,79000,1,1,75000,0,4000
2020,Ford Motor,Dearborn, MI,Business Analyst,1,Operations,79000,2,1,75000,0,4000
2020,Johnson & Johnson,New Brunswick, NJ,Business Analyst,1,Analytic,81000,0,0,75000,0,6000
2020,Juniper Square,San Francisco, CA,Business Analyst,1,Operations,75000,0,0,75000,0,5000
2021,NXP Semiconductors,Austin, TX,Business Analyst,1,General,75000,2,1,75000,0,0
2020,Staples,Boston, MA,Business Analyst,1,Operations,75000,0,0,75000,0,2000
2021,Tempus,New York, NY,Business Analyst,1,Marketing,80000,1,1,75000,0,5000
2021,Thermo Fisher Scientific,Carlsbad, CA,Business Analyst,1,HR,81000,3,1,75000,0,6000
2021,Uber,Amsterdam, NH,Business Analyst,1,Operations,88000,4,4,75000,3000,10000
2020,Visa,Austin, TX,Business Analyst,1,Other,90000,0,0,75000,3000,12000
2021,Amazon,Seattle, WA,Business Analyst,1,General,93000,2,2,76000,10000,7000
2020,Applied Materials,Hillsboro, OR,Business Analyst,1,Analytic,81000,4,2,76000,0,5000
2020,Uber,Chicago, IL,Business Analyst,1,Ops,101000,1,1,77000,15000,9000
2021,Wayfair,Boston, MA,Business Analyst,1,Operations,89000,3,3,77000,5000,8000
2020,Accenture,Detroit, MI,Business Analyst,1,iOS,90000,1,1,78000,8000,3000
2020,Deloitte,Sacramento, CA,Business Analyst,1,Product,88000,1,1,78000,0,10000
2021,Deloitte,Sacramento, CA,Business Analyst,1,General,88000,0,0,78000,0,10000
2021,Deloitte,Arlington, VA,Business Analyst,1,General,90000,0,0,78000,0,10000
2020,Deloitte Consulting,Washington, DC,Business Analyst,1,Analytic,78000,1,1,78000,0,0
2020,Ernst and Young,San Jose, CA,Business Analyst,1,Analytic,83000,1,0,78000,0,5000
2021,Freddie Mac,Fairfax, VA,Business Analyst,1,General,81000,5,3,78000,0,3000
2020,JPMorgan,New York, NY,Business Analyst,1,Finance,78000,1,0,78000,0,0
2020,JPMorgan Chase,Jersey City, NJ,Business Analyst,1,Operations,78000,1,1,78000,0,0
2020,PayPal,Chicago, IL,Business Analyst,1,Finance,96000,2,2,78000,10000,8000
2021,Wayfair,Boston, MA,Business Analyst,1,Algorithms,92000,1,1,78000,6000,8000
2020,Buzzfeed,Los Angeles, CA,Business Analyst,1,iOS,79000,2,2,79000,0,0
2021,Cisco,San Francisco, CA,Business Analyst,1,Operations,86000,0,0,79000,0,7000
2021,Cisco,San Jose, CA,Business Analyst,1,General,86000,1,1,79000,0,7000
2021,Fidelity Investments,Boston, MA,Business Analyst,1,Data analyst,90000,2,2,79000,0,11000
2020,Amazon,Seattle, WA,Business Analyst,1,Operations,120000,0,0,80000,4000,36000
2021,Amazon,Seattle, WA,Business Analyst,1,General,90000,3,0,80000,0,10000
2020,Amazon,Seattle, WA,Business Analyst,1,Data,120000,5,0,80000,20000,20000
2021,Amazon,Seattle, WA,Business Analyst,1,BI,93000,3,2,80000,8000,5000
2021,Capital One,Chicago, IL,Business Analyst,1,Credit,80000,1,1,80000,0,0
2020,Capital One,Plano, TX,Business Analyst,1,Analytic,88000,0,0,80000,3000,5000
2020,CBRE,San Jose, CA,Business Analyst,1,Operations,80000,10,3,80000,0,0
2020,Cisco,San Jose, CA,Business Analyst,1,Networking,87000,0,0,80000,0,7000
2020,Cisco,San Jose, CA,Business Analyst,1,Networking,85000,0,0,80000,0,5000
2020,Cisco,San Jose, CA,Business Analyst,1,Analytics,80000,1,0,80000,0,0
2020,CVS Health,Irving, TX,Business Analyst,1,Analytic,96000,20,9,80000,4000,12000
2021,Deloitte,Philadelphia, PA,Business Analyst,1,Security,95000,1,1,80000,0,15000
2020,Deloitte,Washington, DC,Business Analyst,1,Production,82000,3,1,80000,0,2000
2020,Discover,Deerfield, IL,Business Analyst,1,Analytic,84000,3,3,80000,0,4000
2021,Goldman Sachs,Dallas, TX,Business Analyst,1,Analytic,97000,1,1,80000,0,17000
2021,goPuff,Philadelphia, PA,Business Analyst,1,data analyst,92000,3,3,80000,4000,8000
2021,JPMorgan Chase,Wilmington, DE,Business Analyst,1,General,85000,3,1,80000,0,0
2020,JPMorgan Chase,Plano, TX,Business Analyst,1,Analytic,85000,5,1,80000,0,5000
2021,Kla,San Jose, CA,Business Analyst,1,Operations,88000,3,0,80000,0,8000
2021,Morgan Stanley,New York, NY,Business Analyst,1,General,95000,1,1,80000,0,15000
2021,Slalom,Dallas, TX,Business Analyst,1,Product,87000,1,1,80000,0,7000
2020,Wayfair,Boston, MA,Business Analyst,1,Operations,97000,1,0,80000,9000,8000
2021,Wayfair,Boston, MA,Business Analyst,1,Operations,97000,2,1,80000,9000,8000
2020,Wayfair,Boston, MA,Business Analyst,1,Analytic,108000,2,2,80000,20000,8000
2020,Splunk,Boulder, CO,Business Analyst,1,Marketing,100000,5,2,81000,12000,8000
